Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
5.705999441220543922e+00,2.082405861224137400e+00,1.798915287739612836e+02,8.638639187665965835e+01,2.800000000000000000e+01
6.080442257669910866e+00,3.890564588731132201e+00,4.691790109371270034e+01,1.825371245727882865e+02,2.300000000000000000e+01
6.080442257669910866e+00,3.890564588731128204e+00,1.825371245727883718e+02,4.691790109371277140e+01,2.300000000000000000e+01
6.080442257669910866e+00,3.890564588731131312e+00,4.691790109371271456e+01,1.825371245727883149e+02,2.300000000000000000e+01
6.080442257669910866e+00,3.890564588731128648e+00,1.825371245727884286e+02,4.691790109371277850e+01,2.300000000000000000e+01
5.796026479737172110e+00,3.033258315178485098e+00,5.686786101883106426e+01,1.724949123017837564e+02,3.000000000000000000e+01
5.796026479737172110e+00,3.033258315178487763e+00,1.724949123017839270e+02,5.686786101883106426e+01,3.000000000000000000e+01
5.796026479737172110e+00,3.033258315178493536e+00,5.686786101883089373e+01,1.724949123017837280e+02,3.000000000000000000e+01
5.796026479737172110e+00,3.033258315178484654e+00,1.724949123017836428e+02,5.686786101883103584e+01,3.000000000000000000e+01
7.248155563312807637e+00,3.295862696154557625e+00,8.687162568744489022e+01,2.863169504575516839e+02,2.400000000000000000e+01
7.248155563312807637e+00,3.295862696154559845e+00,2.863169504575517976e+02,8.687162568744487601e+01,2.400000000000000000e+01
7.248155563312807637e+00,3.295862696154561622e+00,8.687162568744483337e+01,2.863169504575517976e+02,2.400000000000000000e+01
7.248155563312807637e+00,3.295862696154558069e+00,2.863169504575515703e+02,8.687162568744486180e+01,2.400000000000000000e+01
8.086172950981996621e+00,5.266985024531861015e+00,4.077128101616915501e+02,7.740914550975580255e+01,2.400000000000000000e+01
8.086172950981996621e+00,5.266985024531861903e+00,7.740914550975577413e+01,4.077128101616914932e+02,2.400000000000000000e+01
8.086172950981996621e+00,5.266985024531861015e+00,4.077128101616915501e+02,7.740914550975580255e+01,2.400000000000000000e+01
